Estado Dados,Q(Tirar),Q(Plantarse)
"(6, 3, 1, 3, 4, 5)",0.0,0.0
"(5, 1, 6, 5, 6, 6)",0.0,0.0
"(4, 5, 4, 6, 2, 4)",0.0,0.0
"(2, 5, 6, 3, 5, 5)",0.0,0.0
"(1, 5, 5, 1, 4, 1)",0.0,0.0
"(1, 4, 3, 2, 4, 6)",0.0,0.0
"(4, 5, 4, 6, 2, 5)",0.0,0.0
"(2, 1, 4, 2, 1, 3)",0.0,0.0
"(2, 2, 5, 5, 5, 1)",0.0,0.0
"(1, 1, 5, 3, 3, 3)",0.0,0.0
"(2, 6, 4, 6, 3, 5)",0.0,0.0
"(2, 6, 5, 3, 4, 1)",0.0,0.0
"(6, 4, 6, 3, 6, 6)",0.0,0.0
"(2, 1, 3, 2, 5, 5)",0.0,0.0
"(1, 3, 6, 1, 4, 2)",0.0,0.0
"(4, 3, 3, 1, 1, 2)",0.0,0.0
"(4, 1, 5, 5, 4, 3)",0.0,0.1
"(2, 6, 2, 5, 5, 6)",0.0,0.0
"(1, 4, 3, 6, 5, 5)",0.0,0.1
"(2, 2, 5)",0.1,0.0
"(4, 1, 3, 4, 4, 1)",0.0,0.0
"(6, 2, 5, 3, 3, 2)",0.0,0.0
"(4, 2, 6, 4, 2, 2)",0.0,0.0
"(3, 3, 5, 5, 2, 5)",0.0,0.0
"(4, 2, 3, 4, 5, 6)",0.0,0.0
"(6, 2, 3, 6, 5, 5)",0.0,0.0
"(3, 1, 3, 2, 4, 2)",0.0,0.0
"(6, 3, 5, 3, 4, 2)",0.0,0.0
"(2, 1, 6, 5, 3, 3)",0.0,0.0
"(4, 2, 5, 3, 6, 5)",0.0,0.0
"(6, 2, 5, 2, 4, 2)",0.0,0.0
"(4, 4, 5, 2, 1, 5)",0.0,0.0
"(5, 5, 5, 5, 3, 6)",0.0,0.0
"(2, 6, 4, 1, 3, 1)",0.0,0.0
"(2, 5, 1, 5, 4, 4)",0.0,0.0
"(3, 6, 1, 2, 5, 3)",0.0,0.0
"(6, 4, 2, 5, 6, 1)",0.0,0.0
"(5, 1, 4, 3, 5, 1)",0.0,0.0
"(5, 2, 5, 3, 5, 6)",0.0,0.0
"(1, 3, 5, 4, 1, 1)",0.0,-0.05
"(6, 3)",-0.1,0.0
"(2, 5, 3, 6, 1, 1)",0.0,0.0
"(3, 2, 2, 6, 4, 6)",-0.199,-0.1
"(3, 6, 2, 3, 3, 6)",0.0,0.0
"(6, 6, 1, 4, 5, 6)",0.0,0.0
"(6, 4, 1, 4, 6, 4)",0.0,0.0
"(5, 1, 4, 3, 1, 4)",0.0,0.0
"(1, 6, 2, 6, 6, 6)",0.0,0.0
"(2, 2, 4, 1, 5, 4)",0.0,0.0
"(4, 3, 4, 6, 3, 4)",0.0,0.0
"(1, 6, 4, 1, 2, 3)",0.0,0.0
"(1, 3, 2, 2, 5, 6)",0.0,0.0
"(2, 5, 4, 4, 2, 3)",0.0,0.0
"(5, 6, 1, 6, 1, 6)",0.0,0.0
"(1, 4, 3, 4, 5, 3)",0.0,0.0
"(1, 4, 3, 2, 4, 1)",0.0,0.0
"(2, 6, 5, 6, 1, 4)",0.0,0.0
"(3, 5, 2, 1, 2, 4)",0.0,0.0
"(5, 4, 2, 2, 3, 5)",0.0,0.0
"(5, 3, 6, 2, 4, 1)",0.0,-0.05
"(2, 1, 3, 6, 2, 6)",0.0,0.0
"(6, 2, 5, 5, 5, 6)",0.0,0.0
"(3, 5, 6, 4, 3, 4)",0.0,0.0
"(6, 4, 6, 2, 1, 1)",0.0,0.0
"(3, 4, 4, 6, 6, 4)",0.0,0.0
"(3, 3, 4, 1, 2, 5)",0.0,0.0
"(5, 2, 2, 2, 1, 1)",0.0,0.0
"(6, 3, 2, 6, 3, 2)",0.0,0.0
"(1, 3, 3, 2, 6, 2)",0.0,0.199
"(6, 2, 2, 1, 3)",0.0,0.0
"(3, 6, 5, 4, 5, 6)",0.0,0.0
"(6, 5, 6, 5, 6, 4)",0.0,0.0
"(4, 1, 6, 5, 2, 3)",0.0,0.0
"(3, 5, 1, 1, 5, 2)",0.0,0.0
"(1, 1, 2, 3, 4, 5)",0.0,0.0
"(4, 4, 6, 1, 1, 6)",0.0,0.0
"(6, 4, 3, 5, 2, 1)",0.0,0.0
"(4, 1, 4, 5, 6, 3)",0.0,0.0
"(3, 5, 5, 5, 5, 4)",0.0,0.0
"(1, 1, 4, 1, 1, 6)",0.0,0.0
"(2, 4, 1, 4, 6, 5)",0.0,0.0
"(5, 1, 6, 4, 6, 1)",0.0,0.0
"(1, 5, 6, 4, 1, 4)",0.0,0.0
"(5, 2, 3, 4, 4, 4)",0.0,-0.05
"(3, 1, 6, 1, 3, 6)",0.0,0.0
"(4, 1, 3, 1, 3, 3)",0.0,0.0
"(2, 2, 3, 5, 4, 6)",0.0,0.0
"(6, 1, 5, 5, 5, 4)",0.0,0.0
"(6, 5, 6, 2, 5, 6)",0.0,0.0
"(6, 4, 6, 3, 5, 3)",0.0,0.0
"(2, 5, 5, 5, 4, 6)",0.0,0.0
"(6, 6, 5, 4, 3, 6)",0.0,0.0
"(1, 5, 4, 5, 1, 6)",0.0,0.0
"(3, 6, 4, 2, 5, 2)",0.0,0.0
"(4, 4, 2, 2, 2, 2)",0.0,0.0
"(3, 2, 4, 4, 3, 5)",0.0,0.0
"(1, 2, 2, 1, 3, 4)",0.0,0.0
"(4, 6, 5, 4, 4, 5)",0.0,0.0
"(2, 3, 4, 2, 4, 2)",0.0,0.0
"(1, 2, 3, 3, 4, 5)",0.0,0.0
"(5, 4, 4, 2, 5, 4)",0.0,0.0
"(5, 5, 5, 5, 5, 1)",0.0,0.0
"(4, 5, 2, 1, 1, 5)",0.0,0.0
"(2, 6, 5, 3, 5, 6)",0.0,0.0
"(3, 4, 2, 4, 6, 3)",-0.1,0.0
"(4, 2, 6, 5, 1, 3)",0.0,0.0
"(6, 3, 1, 6, 2, 5)",0.0,0.1
"(1, 3, 3, 4)",0.0,0.0
"(3, 4, 6, 2, 3, 5)",0.0,0.0
"(4, 1, 1, 5, 5, 3)",0.0,0.0
"(4, 4, 6, 6, 3, 5)",0.0,0.1
"(6, 6, 4, 3, 3, 4)",0.0,0.0
"(2, 6, 5, 5, 2, 6)",0.0,0.0
"(2, 3, 5, 2, 2, 3)",0.0,0.0
"(2, 4, 5, 5, 3, 5)",0.0,0.0
"(3, 5, 3, 4, 2, 5)",0.0,0.0
"(4, 2, 4, 6, 1, 3)",0.0,0.0
"(1, 3, 2, 4, 6, 5)",0.0,0.0
"(5, 5, 1, 2, 1, 5)",0.0,0.0
"(4, 5, 2, 3, 3, 4)",0.0,0.0
"(2, 3, 1, 3, 3, 3)",0.0,0.0
"(2, 2, 6, 2, 5, 4)",0.0,0.0
"(5, 3, 1, 5, 1, 3)",0.0,0.0
"(2, 1, 6, 5, 4, 3)",0.0,0.0
"(5, 2, 6, 5, 6, 1)",0.0,0.0
"(5, 1, 4, 2, 5, 1)",0.0,0.0
"(5, 3, 1, 1, 2, 2)",0.0,0.0
"(5, 2, 5, 1, 5, 3)",0.0,0.0
"(1, 6, 4, 4, 3, 4)",0.0,0.0
"(2, 6, 1, 3, 3, 2)",0.0,0.0
"(4, 1, 6, 4, 5, 4)",0.0,-0.05
"(1, 1, 2, 3, 2, 4)",0.0,0.0
"(3, 2, 6, 3, 2, 4)",-0.1,0.0
"(3, 6, 6, 5, 1, 3)",0.0,0.0
"(6, 4, 6, 6, 4, 2)",0.0,0.0
"(1, 6, 3, 3, 4, 4)",0.0,0.0
"(1, 3, 4, 5, 4, 6)",0.0,0.0
"(4, 5, 1, 3, 3, 1)",0.0,0.0
"(3, 3, 4, 1, 5, 3)",0.0,0.0
"(1, 2, 2, 4, 1, 6)",0.0,0.0
"(5, 5, 3, 5, 5, 3)",0.0,0.0
"(5, 1, 2, 2, 3, 4)",0.0,0.0
"(1, 1, 3, 4, 3, 2)",0.0,0.0
"(5, 2, 6, 4, 2, 4)",0.0,0.0
"(2, 6, 5, 4, 1, 1)",0.0,0.0
"(3, 1, 6, 5, 5, 6)",0.0,0.0
"(3, 6, 6, 6, 3, 4)",0.0,0.0
"(5, 4, 3, 5, 3, 3)",0.0,0.0
"(2, 1, 1, 4, 3, 1)",0.0,0.0
"(3, 4, 2, 6, 1, 2)",0.0,0.0
"(6, 2, 6, 1, 6, 3)",0.0,0.0
"(6, 3, 4, 3, 4, 4)",0.0,0.1
"(6, 4, 5)",0.1,0.0
"(5, 6, 6, 6, 2, 2)",0.0,-0.05
"(3, 4, 6, 1, 4, 4)",0.0,0.0
"(6, 2, 6, 5, 2, 3)",0.0,0.0
"(5, 2, 1, 6, 4, 5)",0.0,0.0
"(2, 6, 1, 1, 6, 6)",0.0,0.0
"(4, 3, 6, 5, 2, 5)",0.0,0.0
"(6, 4, 1, 4, 2, 2)",0.0,0.0
"(2, 5, 5, 1, 1, 5)",0.0,0.0
"(6, 4, 2, 1, 5, 5)",0.0,0.0
"(5, 2, 1, 6, 1, 3)",0.0,0.0
"(4, 5, 5, 5, 4, 5)",0.0,0.0
"(3, 1, 2, 2, 2, 5)",0.0,0.0
"(6, 1, 6, 3, 5, 3)",0.0,0.0
"(4, 3, 4, 5, 4, 3)",0.0,0.0
"(6, 3, 5, 5, 5, 3)",0.0,0.0
"(1, 6, 5, 1, 5, 1)",0.0,0.0
"(6, 2, 5, 5, 1, 4)",0.0,0.0
"(5, 4, 1, 4, 2, 3)",0.0,0.0
"(5, 6, 3, 4, 2, 2)",0.0,0.0
"(1, 2, 2, 5, 4, 3)",0.0,0.0
"(3, 6, 6, 3, 2, 2)",0.0,0.0
"(2, 4, 5, 3, 6, 6)",0.0,0.0
"(2, 2, 1, 4, 6, 4)",0.0,0.0
"(2, 2, 4, 2, 1, 4)",0.0,0.0
"(3, 3, 4, 6, 6, 2)",-0.1,0.0
"(5, 2, 5, 2, 1, 3)",0.0,0.0
"(5, 3, 3, 5, 4, 2)",0.0,0.0
"(3, 4, 1, 2, 2, 4)",0.0,0.0
"(6, 1, 6, 6, 1, 3)",0.0,0.0
"(5, 5, 4, 2, 6, 5)",0.0,0.0
"(6, 4, 3, 2, 3, 5)",0.0,0.0
"(2, 6, 4, 2, 4, 6)",0.0,0.0
"(1, 4, 3, 6, 3, 5)",0.0,0.0
"(3, 3, 4, 6, 6, 3)",0.0,0.0
"(6, 4, 5, 1, 5, 3)",0.0,0.0
"(3, 2, 6, 5, 1, 6)",0.0,0.0
"(3, 1, 1, 4, 1, 5)",0.0,0.0
"(3, 5, 5, 4, 3, 1)",0.0,0.0
"(1, 1, 1, 5, 1, 3)",0.0,0.0
"(3, 6, 5, 4, 5, 2)",0.0,0.0
"(1, 2, 2, 2, 6, 6)",0.0,0.0
"(6, 1, 3, 6, 6, 5)",0.0,0.0
"(5, 4, 2, 3, 4, 5)",0.0,0.0
"(6, 4, 2, 1, 6, 3)",0.0,0.0
"(5, 6, 1, 6, 4, 1)",0.0,0.0
"(6, 5, 4, 1, 5, 4)",0.0,0.0
"(1, 3, 1, 2, 6, 4)",0.0,0.0
"(3, 3, 2, 2, 4, 3)",0.0,0.0
"(5, 5, 2, 3, 1, 2)",0.0,0.0
"(6, 2, 2, 5, 3, 5)",0.0,0.0
"(6, 3, 3, 5, 1, 1)",0.0,0.0
"(5, 2, 6, 2, 3, 2)",0.0,0.0
"(4, 2, 4, 6, 5, 1)",0.0,0.0
"(6, 2, 5, 5, 6, 1)",0.0,0.0
"(1, 6, 1, 6, 2, 2)",0.0,0.0
"(5, 2, 3, 6, 1, 2)",0.0,0.1
"(1, 6, 2, 6)",0.0,0.0
"(4, 3, 3, 4, 2, 5)",0.0,0.0
"(3, 3, 3, 1, 6, 3)",0.0,-0.05
"(2, 3)",-0.199,-0.1
"(2, 5, 1, 4, 2, 1)",0.0,0.0
"(2, 6, 6, 2, 2, 6)",0.0,0.0
"(1, 3, 3, 1, 2, 2)",0.0,0.0
"(5, 5, 2, 4, 1, 3)",0.0,0.0
"(4, 6, 5, 1, 5, 1)",0.0,0.0
"(6, 4, 1, 5, 3, 2)",0.0,0.0
"(2, 2, 6, 5, 6, 4)",0.0,0.0
"(3, 6, 6, 1, 6, 2)",0.0,0.0
"(1, 4, 3, 5, 6, 2)",0.0,0.0
"(3, 6, 6, 2, 5, 5)",0.0,0.0
"(5, 3, 2, 3, 1, 5)",0.0,0.0
"(6, 4, 4, 1, 2, 3)",0.0,0.0
"(2, 1, 1, 6, 4, 3)",0.0,0.0
"(4, 2, 2, 2, 1, 2)",0.0,0.0
"(2, 1, 1, 2, 2, 3)",0.0,0.0
"(4, 3, 3, 3, 4, 2)",0.0,0.0
"(5, 4, 3, 1, 6, 1)",0.0,0.0
"(3, 6, 6, 1, 4, 5)",0.0,0.0
"(2, 2, 3, 4, 3, 2)",0.0,0.0
"(4, 6, 2, 3, 1, 4)",0.0,0.0
"(4, 2, 4, 1, 6, 2)",0.0,0.0
"(5, 1, 5, 4, 5, 1)",0.0,0.0
"(4, 3, 4, 4, 2, 1)",0.0,0.0
"(5, 3, 6, 4, 1, 6)",0.0,0.0
"(6, 2, 1, 1, 3, 6)",0.0,0.0
"(6, 1, 6, 4, 4, 2)",0.0,0.1
"(5, 1, 5, 1, 5)",0.0,0.0
"(4, 6, 3, 5, 1, 5)",0.0,0.0
"(5, 6, 1, 2, 4, 3)",0.0,0.0
"(1, 2, 4, 4, 6, 2)",0.0,0.0
"(1, 6, 1, 2, 4, 6)",0.0,0.0
"(3, 6, 3, 2, 3, 5)",0.0,0.0
"(5, 3, 2, 6, 4, 2)",0.0,0.0
"(4, 1, 5, 5, 5, 4)",0.0,0.0
"(4, 2, 2, 5, 2, 6)",0.0,0.0
"(5, 5, 1, 5, 6, 3)",0.0,0.0
"(1, 5, 1, 6, 1, 5)",0.0,0.0
"(6, 3, 2, 2, 6, 4)",-0.1,0.0
"(1, 4, 4, 5, 5, 1)",0.0,0.0
"(4, 6, 5, 6, 3, 2)",0.0,0.0
"(3, 2, 1, 1, 3, 1)",0.0,0.0
"(1, 3, 1, 2, 3, 4)",0.0,0.0
"(6, 3, 2, 4, 2, 6)",-0.1,0.0
"(6, 3, 1, 2, 2, 1)",0.0,0.0
"(2, 3, 1, 3, 6, 1)",0.0,0.0
"(5, 3, 4, 1, 4, 4)",0.0,0.0
"(1, 5, 6, 5, 1, 5)",0.0,0.0
"(1, 2, 6, 6, 4, 3)",0.0,0.0
"(5, 5, 4, 2, 1, 1)",0.0,0.0
"(3, 4, 1, 1, 3, 4)",0.0,0.0
"(5, 2, 5, 2, 6, 2)",0.0,0.0
"(2, 4, 3, 2, 3, 6)",-0.1,0.0
"(2, 6, 6, 5, 2, 6)",0.0,0.0
"(6, 6, 2, 5, 2, 4)",0.0,0.0
"(6, 3, 1, 5, 4, 4)",0.0,0.0
"(4, 6, 2, 4, 1, 1)",0.0,0.0
"(1, 1, 4, 4, 1, 5)",0.0,0.0
"(3, 5, 2, 4, 5, 2)",0.0,0.0
"(3, 5, 2, 2, 5, 4)",0.0,0.0
"(1, 4, 4, 4, 2, 5)",0.0,0.0
"(5, 6, 6, 1, 3, 5)",0.0,0.0
"(1, 4, 4, 6, 2, 6)",0.0,0.0
"(1, 6, 6, 2, 1, 2)",0.0,0.0
"(6, 4, 4, 1, 5, 6)",0.0,0.0
"(2, 5, 6, 4, 6, 2)",0.0,0.0
"(3, 1, 5, 5, 5, 6)",0.0,0.0
"(1, 4, 2, 1, 6, 4)",0.0,0.0
"(3, 6, 2, 6, 4, 5)",0.0,0.0
"(1, 4, 6, 2, 3, 6)",0.0,0.0
"(3, 1, 2, 4, 1, 2)",0.0,0.0
"(2, 2, 2, 6, 6, 6)",0.0,0.0
"(4, 6, 1, 5, 5, 1)",0.0,0.0
"(1, 2, 1, 1, 3, 4)",0.0,0.0
"(5, 4, 5, 3, 3, 6)",0.0,0.0
"(2, 1, 6, 6, 4, 1)",0.0,0.0
"(1, 3, 5, 3, 2, 5)",0.0,0.0
"(4, 6, 5, 6, 2, 6)",0.0,0.0
"(1, 1, 4, 6, 4, 4)",0.0,0.0
"(1, 5, 1, 4, 5, 4)",0.0,0.0
"(4, 5, 6, 5, 1, 3)",0.0,0.0
"(5, 1, 1, 4, 1, 2)",0.0,0.0
"(3, 2, 1, 5, 5, 3)",0.0,0.0
"(4, 1, 2, 1, 1, 2)",0.0,0.0
"(6, 6, 4, 5, 6, 2)",0.0,0.0
"(1, 3, 5, 3, 3, 6)",0.0,0.0
"(1, 4, 2, 4, 5, 4)",0.0,0.0
"(1, 1, 6, 4, 2, 1)",0.0,0.0
"(5, 6, 6, 3, 2, 1)",0.0,0.0
"(5, 2, 6, 6, 1, 2)",0.0,0.0
"(4, 6, 2, 4, 3, 3)",-0.19,0.0
"(5, 1, 6, 2, 2, 4)",0.0,0.0
"(1, 2, 4, 5, 6, 1)",0.0,0.0
"(3, 6, 1, 4, 1, 3)",0.0,0.0
"(2, 4, 1, 3, 2, 4)",0.0,0.0
"(3, 1, 1, 1, 1, 2)",0.0,0.0
"(5, 5, 6, 1, 5, 6)",0.0,0.0
"(4, 2, 5, 6, 4, 4)",0.0,0.0
"(5, 5, 6, 5, 5, 5)",0.0,0.0
"(6, 3, 6, 3, 2, 1)",0.0,0.0
"(5, 2, 3, 2, 1, 6)",0.0,0.0
"(4, 2, 4, 1, 2, 4)",0.0,0.0
"(1, 3, 1, 1, 5, 2)",0.0,0.0
"(3, 3, 6, 6, 6, 3)",0.0,0.0
"(3, 6, 5, 2, 6, 5)",0.0,0.0
"(1, 2, 5, 4, 1, 3)",0.0,0.0
"(5, 2, 6, 6, 5, 2)",0.0,0.0
"(3, 4, 3, 2, 2, 2)",0.0,0.0
"(2, 2, 6, 5, 5, 4)",0.0,0.0
"(2, 1, 5, 3, 5, 6)",0.0,0.0
"(1, 5, 5, 1, 1, 4)",0.0,0.0
"(6, 4, 1, 3, 3, 2)",0.0,0.0
"(2, 1, 3, 2, 6, 1)",0.0,0.0
"(6, 4, 6, 2, 3, 1)",0.0,0.0
"(1, 6, 3, 6, 6, 5)",0.0,0.0
"(3, 5, 3, 2, 5, 6)",0.0,0.0
"(3, 2, 4, 5, 1, 5)",0.0,0.0
"(6, 5, 2, 4, 4, 2)",0.0,0.0
"(2, 2, 3, 6, 1, 4)",0.0,0.0
"(5, 1, 5, 1, 1, 5)",0.0,0.0
"(1, 6, 6, 2, 2, 5)",0.0,0.0
"(3, 2, 3, 5, 5, 2)",0.0,0.0
"(6, 1, 2, 5, 4, 2)",0.0,0.0
"(5, 3, 1, 4, 3, 6)",0.0,0.0
"(1, 1, 6, 5, 1, 4)",0.0,0.0
"(6, 6, 3, 4, 2, 2)",-0.1,0.0
"(5, 3, 5, 4, 2, 2)",0.0,0.0
"(1, 2, 4, 3, 5, 3)",0.0,0.0
"(1, 3, 1, 3, 4, 6)",0.0,0.0
"(6, 3, 5, 3, 2, 2)",0.0,0.0
"(3, 1, 1, 4, 3, 3)",0.0,0.0
"(4, 6, 3, 3, 3, 3)",0.0,0.0
"(1, 2, 3, 2, 4, 4)",0.0,0.0
"(1, 2, 1, 1, 2, 6)",0.0,0.0
"(2, 3, 1, 3, 6, 2)",0.0,0.0
"(2, 2, 6, 6, 3, 6)",0.0,0.0
"(1, 1, 4, 3, 2, 6)",0.0,0.0
"(4, 3, 1, 3, 5, 2)",0.0,0.0
"(6, 3, 1, 6, 3, 6)",0.0,0.0
"(3, 1, 1, 6, 1, 5)",0.0,0.0
"(2, 6, 2, 4, 1, 1)",0.0,0.0
"(4, 4, 5, 5, 6, 5)",0.0,0.0
"(4, 4, 3, 1, 4, 3)",0.0,0.0
"(5, 4, 5, 3, 5, 6)",0.0,0.0
"(6, 3, 4, 6, 4, 6)",0.0,0.0
"(5, 4, 4, 4, 3, 5)",0.0,0.0
"(3, 4, 5, 4, 1, 2)",0.0,0.0
"(1, 1, 4, 6, 2, 5)",0.0,0.0
"(3, 1, 3, 3, 1, 5)",0.0,0.0
"(4, 3, 6, 4, 6, 3)",0.0,0.0
"(3, 5, 6, 5, 5, 3)",0.0,0.0
"(4, 3, 1, 1, 3, 2)",0.0,0.0
"(4, 3, 5, 2, 5, 2)",0.0,0.0
"(4, 3, 4, 4, 5, 1)",0.0,0.0
"(1, 5, 2, 5, 4, 2)",0.0,0.0
"(5, 3, 4, 1, 2, 6)",0.0,0.0
"(4, 4, 6, 3, 3, 2)",-0.1,0.0
"(6, 4, 2, 4, 3, 4)",0.0,0.0
"(6, 5, 3, 4, 4, 5)",0.0,0.0
"(6, 6, 5, 2, 5, 5)",0.0,0.0
"(5, 3, 1, 2, 4, 1)",0.0,0.0
"(5, 4, 2, 4, 6, 6)",0.0,0.0
"(2, 2, 4, 4, 4, 1)",0.0,0.0
"(2, 2, 1, 2, 2, 3)",0.0,0.0
"(1, 4, 6, 5, 2, 3)",0.0,0.0
"(4, 1, 3, 5, 1, 5)",0.0,0.0
"(1, 4, 2, 3, 4, 1)",0.0,0.0
"(1, 1, 2, 1, 6, 3)",0.0,0.0
"(1, 4, 5, 4, 6, 4)",0.0,0.0
"(2, 2, 6, 3, 5, 6)",0.0,0.0
"(2, 6, 4, 4, 5, 3)",0.0,0.1
"(6, 3, 4, 5, 1)",0.0,0.1
"(3, 3, 5)",0.1,0.0
"(4, 5, 6, 2, 1, 5)",0.0,0.0
"(2, 2, 6, 5, 3, 4)",0.0,0.0
"(3, 5, 2, 4, 5, 1)",0.0,0.1
"(2, 6, 2)",-0.1,0.0
"(6, 1, 6, 2, 4, 3)",0.0,0.0
"(4, 6, 3, 5, 3, 2)",0.0,0.0
"(4, 2, 5, 2, 3, 2)",0.0,0.0
"(6, 2, 5, 4, 3, 5)",0.0,0.0
"(6, 3, 1, 1, 5, 1)",0.0,0.0
"(3, 6, 6, 2, 3, 4)",-0.1,0.0
"(5, 6, 5, 6, 4, 5)",0.0,0.0
"(5, 6, 3, 2, 2, 5)",0.0,0.0
"(1, 5, 1, 6, 6, 5)",0.0,0.0
"(6, 6, 1, 4, 6, 5)",0.0,0.0
"(3, 2, 2, 5, 4, 1)",0.0,0.0
"(5, 2, 5, 6, 5, 3)",0.0,0.0
"(5, 4, 4, 1, 4, 6)",0.0,0.0
"(5, 5, 5, 2, 3, 2)",0.0,0.0
"(6, 3, 2, 1, 5, 4)",0.0,0.0
"(1, 4, 4, 3, 1, 5)",0.0,0.0
"(1, 1, 5, 5, 3, 3)",0.0,0.0
"(6, 1, 6, 4, 3, 3)",0.0,0.1
"(4, 3, 6, 3, 4)",-0.1,0.0
"(1, 1, 4, 2, 5, 1)",0.0,-0.05
"(3, 5)",0.29701,0.0
"(4, 4, 5, 6, 6, 5)",0.0,0.0
"(5, 1, 1, 5, 5, 4)",0.0,0.0
"(5, 3, 4, 1, 4, 2)",0.0,0.0
"(6, 2, 6, 1, 6, 5)",0.0,0.0
"(3, 5, 6, 5, 4, 4)",0.0,0.0
"(6, 5, 5, 6, 1, 6)",0.0,-0.05
"(1, 4, 5, 1, 1, 5)",0.0,0.0
"(4, 5, 6, 2, 6, 1)",0.0,0.0
"(3, 6, 6, 3, 3, 5)",0.0,0.0
"(4, 6, 3, 4, 5, 6)",0.0,0.0
"(3, 2, 3, 4, 6, 2)",-0.1,0.0
"(4, 4, 3, 5, 3, 2)",0.0,0.0
"(6, 2, 1, 5, 5, 2)",0.0,0.1
"(2, 2, 4)",-0.19,-0.1
"(2, 4, 2, 2, 4, 2)",0.0,0.0
"(5, 5, 3, 1, 4, 4)",0.0,0.0
"(1, 5, 6, 3, 3, 5)",0.0,0.0
"(6, 4, 4, 5, 3, 1)",0.0,0.0
"(3, 6, 2, 1, 5, 4)",0.0,0.0
"(4, 3, 5, 1, 5, 2)",0.0,0.0
"(3, 4, 1, 5, 1, 3)",0.0,0.0
"(3, 1, 6, 2, 3, 3)",0.0,0.0
"(2, 5, 3, 2, 6, 3)",0.0,0.0
"(3, 2, 2, 4, 3, 2)",0.0,0.0
"(2, 4, 2, 5, 3, 5)",0.0,0.1
"(5, 5, 6, 2)",0.0,0.0
"(1, 4, 1, 2, 5, 1)",0.0,0.0
"(1, 6, 4, 6, 6, 2)",0.0,0.0
"(4, 5, 3, 3, 4, 2)",0.0,0.0
"(4, 4, 5, 4, 1, 4)",0.0,0.0
"(1, 6, 1, 1, 3, 5)",0.0,0.0
"(6, 2, 1, 4, 5, 6)",0.0,0.0
"(1, 6, 1, 3, 1, 4)",0.0,0.0
"(1, 6, 5, 6, 4, 6)",0.0,0.0
"(3, 3, 5, 5, 3, 6)",0.0,0.0
"(2, 6, 5, 4, 3, 5)",0.0,0.0
"(6, 3, 3, 6, 3, 5)",0.0,0.0
"(2, 5, 4, 4, 1, 5)",0.0,0.0
"(4, 4, 3, 1, 6, 3)",0.0,0.0
"(1, 1, 3, 3, 2, 6)",0.0,0.0
"(6, 5, 5, 6, 3, 3)",0.0,0.0
"(1, 6, 5, 6, 6, 1)",0.0,0.0
"(4, 2, 2, 1, 4, 2)",0.0,0.0
"(1, 1, 4, 3, 1, 2)",0.0,0.0
"(3, 6, 3, 3, 1, 4)",0.0,0.0
"(1, 4, 4, 4, 6, 2)",0.0,0.0
"(2, 4, 1, 5, 5, 5)",0.0,0.0
"(6, 6, 6, 5, 3, 5)",0.0,0.0
"(4, 5, 4, 6, 6, 2)",0.0,0.0
"(5, 2, 5, 4, 1, 2)",0.0,0.0
"(4, 6, 6, 3, 1, 1)",0.0,0.0
"(2, 3, 5, 6, 1, 3)",0.0,0.0
"(4, 4, 1, 5, 4, 4)",0.0,0.0
"(1, 2, 1, 3, 2, 5)",0.0,0.0
"(1, 6, 6, 2, 3, 3)",0.0,0.0
"(6, 3, 1, 6, 4, 1)",0.0,0.0
"(1, 3, 1, 4, 5, 2)",0.0,0.0
"(2, 4, 5, 2, 3, 6)",0.0,0.0
"(2, 3, 3, 3, 2, 4)",0.0,0.0
"(4, 5, 2, 2, 4, 2)",0.0,0.0
"(1, 2, 5, 1, 6, 2)",0.0,0.0
"(1, 5, 5, 2, 5, 4)",0.0,-0.05
"(4, 5)",0.3940399,-0.0232691
"(6, 4, 2, 3, 1, 1)",0.0,0.0
"(1, 2, 2, 1, 4, 2)",0.0,-0.05
"(2,)",-0.29701,-0.29701
"(6, 2, 1, 1, 6, 6)",0.0,-0.05
"(1, 5, 6, 3, 2, 4)",0.0,0.0
"(5, 6, 1, 2, 2, 5)",0.0,0.0
"(6, 1, 2, 2, 2, 2)",0.0,0.0
"(3, 1, 5, 3, 2, 5)",0.0,0.0
"(3, 2, 6, 1, 6, 1)",0.0,0.0
"(3, 3, 4, 6, 4, 1)",0.0,0.1
"(5, 1, 4, 4, 4)",0.0,0.0
"(3, 2, 4, 2, 3, 6)",-0.1,0.0
"(4, 3, 3, 2, 3, 2)",0.0,0.0
"(3, 2, 2, 5, 6, 1)",0.0,0.0
"(2, 3, 1, 6, 2, 1)",0.0,0.0
"(6, 5, 6, 6, 2, 3)",0.0,0.0
"(3, 3, 5, 1, 3, 4)",0.0,0.0
"(1, 1, 5, 3, 6, 1)",0.0,0.0
"(6, 1, 4, 3, 5, 6)",0.0,0.0
"(2, 3, 6, 6, 5, 2)",0.0,0.1
"(2, 1, 6, 4, 3)",0.0,0.0
"(3, 6, 4, 4, 3, 4)",0.0,0.1
"(5, 6, 4)",0.099,0.0
"(3, 3, 4, 3, 2, 3)",0.0,0.0
"(2, 5, 3, 5, 5, 4)",0.0,0.0
"(1, 2, 5, 5, 6, 2)",0.0,0.0
"(6, 6, 1, 6, 1, 5)",0.0,0.0
"(6, 2, 2, 2, 3, 3)",0.0,0.0
"(1, 2, 3, 6, 3, 2)",0.0,0.0
"(2, 2, 6, 4, 4, 1)",0.0,0.0
